iter	Passed	Remaining
287	426	1054
288	427	1051
289	428	1049
290	429	1046
291	430	1044
292	431	1041
293	432	1039
294	433	1036
295	434	1034
296	435	1031
297	436	1029
298	437	1026
299	439	1025
300	440	1024
301	442	1021
302	443	1019
303	444	1018
304	446	1017
305	447	1015
306	449	1013
307	450	1012
308	451	1010
309	452	1008
310	454	1007
311	456	1005
312	457	1003
313	458	1002
314	460	1000
315	461	999
316	463	997
317	464	995
318	465	993
319	466	992
320	468	991
321	470	991
322	472	990
323	473	988
324	475	986
325	476	985
326	477	983
327	479	981
328	480	979
329	481	978
330	483	976
331	484	975
332	486	974
333	487	972
334	489	971
335	490	970
336	492	968
337	493	966
338	494	964
339	496	963
340	497	961
341	498	959
342	500	959
343	502	957
344	503	955
345	504	954
346	506	952
347	507	950
348	508	948
349	509	946
350	510	944
351	512	942
352	513	940
353	514	938
354	515	936
355	516	934
356	517	932
357	518	930
358	520	928
359	521	926
360	522	924
361	523	922
362	524	920
363	526	919
364	527	918
365	529	916
366	530	915
367	532	913
368	533	912
369	534	910
370	536	909
371	537	907
372	539	906
373	540	905
374	542	904
375	543	902
376	545	900
377	546	899
378	548	898
379	549	897
380	551	895
381	552	893
382	553	892
383	555	890
384	556	889
385	557	887
386	559	885
387	560	884
388	562	883
389	563	881
390	565	880
391	566	879
392	568	877
393	569	875
394	570	873
395	572	872
396	573	871
397	574	869
398	576	867
399	577	866
400	579	865
401	581	864
402	582	862
403	583	860
404	584	859
405	586	857
406	587	855
407	588	853
408	589	851
409	590	850
410	591	848
411	593	847
412	594	845
413	596	843
414	597	842
415	598	840
416	599	838
417	600	836
418	602	834
419	603	832
420	604	830
421	605	829
422	607	828
423	609	827
424	610	826
425	612	824
426	613	822
427	614	821
428	615	819
429	617	818
430	618	816
431	619	814
432	621	813
433	622	811
434	624	811
435	626	810
436	627	808
437	628	806
438	629	804
439	631	803
440	632	801
441	633	799
442	634	798
443	636	796
444	637	794
445	639	793
446	640	792
447	641	791
448	643	789
449	644	787
450	645	786
451	647	784
452	648	782
453	649	781
454	650	779
455	651	777
456	653	776
457	655	775
458	656	773
459	657	772
460	659	770
461	660	769
462	661	767
463	663	765
464	664	764
465	665	762
466	666	760
467	668	759
468	669	757
469	671	756
470	672	754
471	673	753
472	674	751
473	675	749
474	676	747
475	678	746
476	679	744
477	680	742
